"","ï..PaÃ.s","Comunidad","Provincia","CP","Grupo","Sexo","Rango.de.Edad","Latitude.Longitude","Latitud","Longitud","Distancia"
"1","España","Madrid","Madrid","28051","PDI","Hombre","32-44","40.344472,-3.611649","40.344472","-3.611649",25
"2","España","Castilla LeÃ³n","Segovia","45003","PDI","Hombre","44-57","39.868095,-4.021019","39.868095","-4.021019",80
"3","España","Madrid","Madrid","28003","PDI","Hombre","18-31","40.441115,-3.69529","40.441115","-3.69529",10
"4","España","Madrid","Madrid","28022","PDI","Hombre","44-57","40.441994,-3.586331","40.441994","-3.586331",13
"5","España","Madrid","Madrid","28150","PAS","Hombre","32-44","40.693062,-3.510454","40.693062","-3.510454",50
"6","España","Madrid","Madrid","28860","PDI","Hombre","18-31","40.509799,-3.530677","40.509799","-3.530677",25
"7","España","Madrid","Madrid","28005","PDI","Hombre","44-57","40.405009,-3.710512","40.405009","-3.710512",8
"8","España","Madrid","Madrid","28050","PDI","Hombre","44-57","40.500471,-3.667394","40.500471","-3.667394",27
"9","España","Madrid","Madrid","28804","PDI","Mujer","32-44","40.480047,-3.333855","40.480047","-3.333855",50
"10","España","Madrid","Madrid","28005","PAS","Hombre","32-44","40.405009,-3.710512","40.405009","-3.710512",11
"11","España","Madrid","Madrid","28015","PDI","Hombre","58-70","40.430454,-3.710512","40.430454","-3.710512",4
"12","España","Madrid","Madrid","28770","PDI","Hombre","44-57","40.676283,-3.7232","40.676283","-3.7232",35
"13","España","Madrid","Madrid","28019","PDI","Hombre","18-31","40.39434,-3.725739","40.39434","-3.725739",15
"14","España","Madrid","Madrid","28804","PAS","Mujer","32-44","40.480047,-3.333855","40.480047","-3.333855",50
"15","España","Madrid","Madrid","28015","PDI","Mujer","44-57","40.430454,-3.710512","40.430454","-3.710512",3.2
"16","España","Madrid","Madrid","28904","PAS","Mujer","32-44","40.311189,-3.737162","40.311189","-3.737162",22
"17","España","Madrid","Madrid","28223","PDI","Hombre","18-31","40.424361,-3.819738","40.424361","-3.819738",13
"18","España","Madrid","Madrid","28221","PDI","Hombre","32-44","40.46404,-3.850262","40.46404","-3.850262",15
"19","España","Madrid","Madrid","28039","PDI","Hombre","44-57","40.460972,-3.710512","40.460972","-3.710512",2
"20","España","Madrid","Madrid","28005","PDI","Hombre","44-57","40.405009,-3.710512","40.405009","-3.710512",9
"21","España","Madrid","Madrid","28042","Estudiante","Mujer","18-31","40.467893,-3.571147","40.467893","-3.571147",15
"22","España","Madrid","Madrid","28007","PDI","Hombre","32-44","40.406301,-3.669929","40.406301","-3.669929",17
"23","España","Madrid","Madrid","28231","PDI","Hombre","58-70","40.504362,-3.86044","40.504362","-3.86044",25
"24","España","Madrid","Madrid","28039","PDI","Mujer","32-44","40.460972,-3.710512","40.460972","-3.710512",3.5
"25","España","Madrid","Madrid","28822","PDI","Mujer","32-44","40.420265,-3.548378","40.420265","-3.548378",30
"26","España","Madrid","Madrid","28450","PDI","Hombre","44-57","40.69128,-4.04186","40.69128","-4.04186",45
"27","España","Madrid","Madrid","28029","PDI","Mujer","32-44","40.47655,-3.700363","40.47655","-3.700363",5
"28","España","Madrid","Madrid","28703","PDI","Mujer","32-44","40.540875,-3.593925","40.540875","-3.593925",22
"29","España","Madrid","Madrid","28221","PDI","Hombre","44-57","40.46404,-3.850262","40.46404","-3.850262",15
"30","España","Madrid","Madrid","28020","PDI","Hombre","32-44","40.456373,-3.69529","40.456373","-3.69529",2.5
"31","España","Madrid","Madrid","28022","PDI","Hombre","32-44","40.441994,-3.586331","40.441994","-3.586331",15
"32","España","Madrid","Madrid","28050","PDI","Mujer","32-44","40.500471,-3.667394","40.500471","-3.667394",20
"33","España","Madrid","Madrid","28032","PAS","Hombre","32-44","40.410834,-3.606585","40.410834","-3.606585",25
"34","España","Madrid","Madrid","28006","PAS","Mujer","44-57","40.4352,-3.68134","40.4352","-3.68134",15
"35","España","Madrid","Madrid","28050","PDI","Hombre","32-44","40.500471,-3.667394","40.500471","-3.667394",17
"36","España","Madrid","Madrid","28942","PDI","Hombre","32-44","40.30179,-3.829911","40.30179","-3.829911",22
"37","España","Madrid","Madrid","28025","Estudiante","Mujer","18-31","40.378739,-3.735892","40.378739","-3.735892",12
"38","España","Madrid","Madrid","28023","PDI","Hombre","18-31","40.461465,-3.773987","40.461465","-3.773987",15
"39","España","Madrid","Madrid","28039","PDI","Hombre","18-31","40.460972,-3.710512","40.460972","-3.710512",2.5
"40","España","Madrid","Madrid","28232","PDI","Mujer","44-57","40.512814,-3.911363","40.512814","-3.911363",20
"41","España","Madrid","Madrid","28232","PDI","Hombre","44-57","40.512814,-3.911363","40.512814","-3.911363",25
"42","España","Castilla LeÃ³n","Segovia","40004","PDI","Hombre","32-44","40.939247,-4.092547","40.939247","-4.092547",90
"43","España","Madrid","Madrid","28045","PDI","Hombre","44-57","40.395476,-3.690217","40.395476","-3.690217",30
"44","España","Madrid","Madrid","28030","PDI","Hombre","32-44","40.40726,-3.639514","40.40726","-3.639514",18.9
"45","España","Madrid","Madrid","28045","PDI","Mujer","44-57","40.395476,-3.690217","40.395476","-3.690217",5
"46","España","Madrid","Madrid","28003","Estudiante","Mujer","18-31","40.441115,-3.69529","40.441115","-3.69529",5
"47","España","Madrid","Madrid","28007","PDI","Mujer","18-31","40.406301,-3.669929","40.406301","-3.669929",20
"48","España","Madrid","Madrid","28224","PDI","Hombre","44-57","40.445378,-3.799399","40.445378","-3.799399",10
"49","España","Madrid","Madrid","28035","PDI","Hombre","58-70","40.478197,-3.728277","40.478197","-3.728277",18
"50","España","Madrid","Madrid","28223","PDI","Mujer","32-44","40.424361,-3.819738","40.424361","-3.819738",15
"51","España","Madrid","Madrid","28223","PDI","Hombre","32-44","40.424361,-3.819738","40.424361","-3.819738",13
"52","España","Madrid","Madrid","28006","Estudiante","Hombre","18-31","40.4352,-3.68134","40.4352","-3.68134",7
"53","España","Madrid","Madrid","28223","PDI","Hombre","44-57","40.424361,-3.819738","40.424361","-3.819738",13
"54","España","Madrid","Madrid","28029","Estudiante","Hombre","18-31","40.47655,-3.700363","40.47655","-3.700363",5.5
"55","España","Madrid","Madrid","28232","PDI","Mujer","58-70","40.512814,-3.911363","40.512814","-3.911363",25
"56","España","Madrid","Madrid","24008","PDI","Hombre","58-70","42.618134,-5.58536","42.618134","-5.58536",10
"57","España","Madrid","Madrid","28027","PDI","Hombre","18-31","40.44272,-3.644582","40.44272","-3.644582",10
"58","España","Madrid","Madrid","28922","PDI","Hombre","58-70","40.357003,-3.855351","40.357003","-3.855351",62
"59","España","Madrid","Madrid","28020","PDI","Hombre","32-44","40.456373,-3.69529","40.456373","-3.69529",3
"60","España","Madrid","Madrid","28919","PAS","Hombre","44-57","40.356065,-3.728277","40.356065","-3.728277",20
"61","España","Madrid","Madrid","28005","PAS","Hombre","58-70","40.405009,-3.710512","40.405009","-3.710512",12
"62","España","Madrid","Madrid","28035","PDI","Hombre","58-70","40.478197,-3.728277","40.478197","-3.728277",4
"63","España","Madrid","Madrid","28037","PDI","Hombre","32-44","40.433181,-3.624313","40.433181","-3.624313",30
"64","España","Madrid","Madrid","28043","PAS","Mujer","44-57","40.460442,-3.647116","40.460442","-3.647116",10
"65","España","Madrid","Madrid","28003","PDI","Hombre","18-31","40.441115,-3.69529","40.441115","-3.69529",2
"66","España","Madrid","Madrid","28005","PAS","Hombre","44-57","40.405009,-3.710512","40.405009","-3.710512",7
"67","España","Madrid","Madrid","28003","PDI","Hombre","32-44","40.441115,-3.69529","40.441115","-3.69529",4
"68","España","Madrid","Madrid","28030","PDI","Hombre","32-44","40.40726,-3.639514","40.40726","-3.639514",30
"69","España","Madrid","Madrid","28035","PDI","Hombre","44-57","40.478197,-3.728277","40.478197","-3.728277",4
"70","España","Madrid","Madrid","28970","PDI","Hombre","18-31","40.250784,-3.829911","40.250784","-3.829911",39
"71","España","Madrid","Madrid","28022","PAS","Mujer","44-57","40.441994,-3.586331","40.441994","-3.586331",14
"72","España","Madrid","Madrid","28033","PDI","Hombre","32-44","40.472915,-3.65472","40.472915","-3.65472",10
"73","España","Madrid","Madrid","28033","PDI","Hombre","58-70","40.472915,-3.65472","40.472915","-3.65472",10
"74","España","Madrid","Madrid","28821","PDI","Hombre","18-31","40.429977,-3.563556","40.429977","-3.563556",25
"75","España","Madrid","Madrid","28914","PAS","Hombre","44-57","40.318254,-3.794316","40.318254","-3.794316",20
"76","España","Madrid","Madrid","28003","PDI","Hombre","44-57","40.441115,-3.69529","40.441115","-3.69529",4
"77","España","Madrid","Madrid","28045","PDI","Hombre","58-70","40.395476,-3.690217","40.395476","-3.690217",10
"78","España","Madrid","Madrid","28004","PDI","Hombre","32-44","40.424459,-3.699095","40.424459","-3.699095",5
"79","España","Madrid","Madrid","28026","PDI","Hombre","44-57","40.384808,-3.705437","40.384808","-3.705437",12
"80","España","Madrid","Madrid","28003","PDI","Mujer","18-31","40.441115,-3.69529","40.441115","-3.69529",2
"81","España","Madrid","Madrid","28011","PDI","Hombre","32-44","40.421432,-3.753666","40.421432","-3.753666",8
"82","España","Madrid","Madrid","28609","PAS","Mujer","32-44","40.348601,-4.100217","40.348601","-4.100217",60
"83","España","Madrid","Madrid","28025","PDI","Hombre","18-31","40.378739,-3.735892","40.378739","-3.735892",18
"84","España","Madrid","Madrid","28033","PAS","Hombre","32-44","40.472915,-3.65472","40.472915","-3.65472",13
"85","España","Madrid","Madrid","28760","PAS","Hombre","44-57","40.605637,-3.713049","40.605637","-3.713049",30
"86","España","Madrid","Madrid","28027","PDI","Hombre","32-44","40.44272,-3.644582","40.44272","-3.644582",10.78
"87","España","Madrid","Madrid","28034","PDI","Hombre","32-44","40.499827,-3.68768","40.499827","-3.68768",5
"88","España","Madrid","Madrid","28021","PDI","Hombre","18-31","40.33666,-3.697826","40.33666","-3.697826",18
"89","España","Madrid","Madrid","28041","PAS","Hombre","44-57","40.367228,-3.697826","40.367228","-3.697826",18
"90","España","Madrid","Madrid","28850","PAS","Hombre","44-57","40.471568,-3.449835","40.471568","-3.449835",25
"91","España","Madrid","Madrid","28040","PDI","Hombre","58-70","40.447361,-3.738431","40.447361","-3.738431",2
"92","España","Madrid","Madrid","28030","PAS","Hombre","58-70","40.40726,-3.639514","40.40726","-3.639514",20
"93","España","Madrid","Madrid","28039","PAS","Hombre","44-57","40.460972,-3.710512","40.460972","-3.710512",4
"94","España","Madrid","Madrid","28410","PDI","Hombre","44-57","40.71281,-3.845173","40.71281","-3.845173",50
"95","España","Madrid","Madrid","28020","PDI","Hombre","58-70","40.456373,-3.69529","40.456373","-3.69529",4
"96","España","Madrid","Madrid","28015","PDI","Hombre","44-57","40.430454,-3.710512","40.430454","-3.710512",4
"97","España","Madrid","Madrid","28035","PDI","Hombre","18-31","40.478197,-3.728277","40.478197","-3.728277",3
"98","España","Castilla la Mancha","Guadalajara","19170","PAS","Mujer","44-57","40.71634,-3.409463","40.71634","-3.409463",60
"99","España","Madrid","Madrid","28280","PAS","Hombre","44-57","40.593296,-4.079767","40.593296","-4.079767",48
"100","España","Madrid","Madrid","28430","PDI","Hombre","58-70","40.671651,-4.013361","40.671651","-4.013361",40
"101","España","Madrid","Madrid","28017","PAS","Hombre","58-70","40.422369,-3.644582","40.422369","-3.644582",12
"102","España","Madrid","Madrid","28413","PAS","Mujer","32-44","40.715654,-3.911363","40.715654","-3.911363",55
"103","España","Madrid","Madrid","28045","Estudiante","Hombre","18-31","40.395476,-3.690217","40.395476","-3.690217",8
"104","España","Madrid","Madrid","28917","PAS","Mujer","44-57","40.356885,-3.781609","40.356885","-3.781609",27
"105","España","Madrid","Madrid","28044","PAS","Hombre","32-44","40.377588,-3.771446","40.377588","-3.771446",30
"106","España","Madrid","Madrid","28028","PDI","Hombre","32-44","40.431906,-3.664859","40.431906","-3.664859",10
"107","España","Madrid","Madrid","28035","PDI","Hombre","32-44","40.478197,-3.728277","40.478197","-3.728277",60
"108","España","Madrid","Madrid","28045","Estudiante","Hombre","18-31","40.395476,-3.690217","40.395476","-3.690217",18
"109","España","Madrid","Madrid","28110","Estudiante","Hombre","18-31","40.607342,-3.495292","40.607342","-3.495292",40
"110","España","Madrid","Madrid","28040","Estudiante","Mujer","18-31","40.447361,-3.738431","40.447361","-3.738431",5
"111","España","Madrid","Madrid","28109","Estudiante","Mujer","18-31","40.523019,-3.596457","40.523019","-3.596457",17
"112","España","Madrid","Madrid","28002","Estudiante","Mujer","18-31","40.446846,-3.675001","40.446846","-3.675001",7
"113","España","Madrid","Madrid","28017","Estudiante","Mujer","18-31","40.422369,-3.644582","40.422369","-3.644582",11
"114","España","Madrid","Madrid","28028","Estudiante","Hombre","18-31","40.431906,-3.664859","40.431906","-3.664859",10
"115","España","Madrid","Madrid","28028","Estudiante","Hombre","18-31","40.431906,-3.664859","40.431906","-3.664859",7.5
"116","España","Madrid","Madrid","28034","Estudiante","Hombre","18-31","40.499827,-3.68768","40.499827","-3.68768",7.5
"117","España","Madrid","Madrid","28040","Estudiante","Hombre","18-31","40.447361,-3.738431","40.447361","-3.738431",2.1
"118","España","Madrid","Madrid","28223","Estudiante","Hombre","18-31","40.424361,-3.819738","40.424361","-3.819738",15
"119","España","Madrid","Madrid","28030","Estudiante","Hombre","18-31","40.40726,-3.639514","40.40726","-3.639514",10
"120","España","Madrid","Madrid","28007","Estudiante","Hombre","18-31","40.406301,-3.669929","40.406301","-3.669929",6
"121","España","Madrid","Madrid","28027","Estudiante","Hombre","18-31","40.44272,-3.644582","40.44272","-3.644582",13
"122","España","Madrid","Madrid","28050","Estudiante","Hombre","18-31","40.500471,-3.667394","40.500471","-3.667394",16
"123","España","Madrid","Madrid","28760","Estudiante","Mujer","18-31","40.605637,-3.713049","40.605637","-3.713049",23
"124","España","Madrid","Madrid","28039","Estudiante","Hombre","18-31","40.460972,-3.710512","40.460972","-3.710512",3
"125","España","Madrid","Madrid","28033","Estudiante","Mujer","18-31","40.472915,-3.65472","40.472915","-3.65472",12
"126","España","Madrid","Madrid","28029","Estudiante","Hombre","18-31","40.47655,-3.700363","40.47655","-3.700363",8
"127","España","Madrid","Madrid","28033","Estudiante","Hombre","18-31","40.472915,-3.65472","40.472915","-3.65472",20
"128","España","Madrid","Madrid","28260","Estudiante","Hombre","18-31","40.556257,-3.977639","40.556257","-3.977639",35
"129","España","Madrid","Madrid","28017","Estudiante","Mujer","18-31","40.422369,-3.644582","40.422369","-3.644582",22
"130","España","Madrid","Madrid","28035","Estudiante","Mujer","18-31","40.478197,-3.728277","40.478197","-3.728277",10
"131","España","Madrid","Madrid","28290","Estudiante","Hombre","18-31","40.538723,-3.896081","40.538723","-3.896081",22
"132","España","Madrid","Madrid","28220","Estudiante","Hombre","18-31","40.473189,-3.880803","40.473189","-3.880803",15.8
"133","España","Madrid","Madrid","28019","Estudiante","Hombre","18-31","40.39434,-3.725739","40.39434","-3.725739",10
"134","España","Madrid","Madrid","28043","Estudiante","Hombre","18-31","40.460442,-3.647116","40.460442","-3.647116",11
"135","España","Madrid","Madrid","28039","Estudiante","Hombre","18-31","40.460972,-3.710512","40.460972","-3.710512",3
"136","España","Madrid","Madrid","28003","Estudiante","Mujer","18-31","40.441115,-3.69529","40.441115","-3.69529",2
"137","España","Madrid","Madrid","28050","Estudiante","Hombre","18-31","40.500471,-3.667394","40.500471","-3.667394",15
"138","España","Madrid","Madrid","28015","Estudiante","Hombre","18-31","40.430454,-3.710512","40.430454","-3.710512",4
"139","España","Madrid","Madrid","28015","Estudiante","Hombre","18-31","40.430454,-3.710512","40.430454","-3.710512",5
"140","España","Madrid","Madrid","28039","Estudiante","Hombre","18-31","40.460972,-3.710512","40.460972","-3.710512",2
"141","España","Castilla LeÃ³n","Segovia","40006","Estudiante","Hombre","18-31","40.9288,-4.102774","40.9288","-4.102774",110
"142","España","Madrid","Madrid","28039","Estudiante","Mujer","18-31","40.460972,-3.710512","40.460972","-3.710512",3
"143","España","Madrid","Madrid","28029","Estudiante","Hombre","18-31","40.47655,-3.700363","40.47655","-3.700363",4
"144","España","Madrid","Madrid","28013","Estudiante","Hombre","18-31","40.418965,-3.711781","40.418965","-3.711781",5
"145","España","Madrid","Madrid","28025","Estudiante","Hombre","18-31","40.378739,-3.735892","40.378739","-3.735892",15
"146","España","Madrid","Madrid","28033","Estudiante","Hombre","18-31","40.472915,-3.65472","40.472915","-3.65472",5
"147","España","Madrid","Madrid","28028","Estudiante","Hombre","18-31","40.431906,-3.664859","40.431906","-3.664859",8
"148","España","Madrid","Madrid","28045","Estudiante","Hombre","18-31","40.395476,-3.690217","40.395476","-3.690217",7
"149","España","Madrid","Madrid","28100","Estudiante","Hombre","18-31","40.561421,-3.667394","40.561421","-3.667394",22
"150","España","Madrid","Madrid","28035","Estudiante","Hombre","18-31","40.478197,-3.728277","40.478197","-3.728277",5.2
"151","España","Madrid","Madrid","28018","Estudiante","Hombre","18-31","40.386418,-3.65472","40.386418","-3.65472",16
"152","España","Madrid","Madrid","28510","Estudiante","Mujer","18-31","40.321481,-3.359045","40.321481","-3.359045",50
"153","España","Madrid","Madrid","28015","Estudiante","Hombre","18-31","40.430454,-3.710512","40.430454","-3.710512",6
"154","España","Madrid","Madrid","28400","Estudiante","Mujer","18-31","40.63671,-3.998048","40.63671","-3.998048",45
"155","España","Madrid","Madrid","28034","Estudiante","Hombre","18-31","40.499827,-3.68768","40.499827","-3.68768",6.1
"156","España","Madrid","Madrid","28015","Estudiante","Hombre","18-31","40.430454,-3.710512","40.430454","-3.710512",6
"157","España","Madrid","Madrid","28231","Estudiante","Mujer","18-31","40.504362,-3.86044","40.504362","-3.86044",22
"158","España","Madrid","Madrid","28035","Estudiante","Mujer","18-31","40.478197,-3.728277","40.478197","-3.728277",5
"159","España","Madrid","Madrid","28701","Estudiante","Hombre","18-31","40.574352,-3.659789","40.574352","-3.659789",20
"160","España","Madrid","Madrid","28004","Estudiante","Mujer","18-31","40.424459,-3.699095","40.424459","-3.699095",6
"161","España","Madrid","Madrid","28016","Estudiante","Mujer","18-31","40.457019,-3.675001","40.457019","-3.675001",8.5
"162","España","Madrid","Madrid","28921","Estudiante","Hombre","18-31","40.348974,-3.828639","40.348974","-3.828639",20
"163","España","Madrid","Madrid","28035","Estudiante","Mujer","18-31","40.478197,-3.728277","40.478197","-3.728277",10
"164","España","Madrid","Madrid","28015","Estudiante","Hombre","18-31","40.430454,-3.710512","40.430454","-3.710512",3.7
"165","España","Madrid","Madrid","28038","Estudiante","Hombre","18-31","40.396601,-3.65472","40.396601","-3.65472",15
"166","España","Madrid","Madrid","28500","Estudiante","Mujer","18-31","40.288218,-3.449835","40.288218","-3.449835",30
"167","España","Madrid","Madrid","28050","Estudiante","Mujer","18-31","40.500471,-3.667394","40.500471","-3.667394",17
"168","España","Madrid","Madrid","28022","Estudiante","Mujer","18-31","40.441994,-3.586331","40.441994","-3.586331",50
"169","España","Madrid","Madrid","ETSIT-UPM","ETSIT-UPM","ETSIT-UPM","ETSIT-UPM","40.452291, -3.726652","40.452291"," -3.726652",0
