	p_invierno	p_primavera	p_verano	p_otoño
1	0.14315	0.10816	0.11069	0.11755
2	0.13726	0.10735	0.10218	0.11399
3	0.13355	0.10422	0.09882	0.10875
4	0.13248	0.10355	0.09676	0.10754
5	0.13042	0.10327	0.095	0.10887
6	0.13326	0.10324	0.09452	0.11247
7	0.13762	0.10785	0.09474	0.12376
8	0.15502	0.11672	0.10171	0.12776
9	0.16342	0.11528	0.10291	0.12657
10	0.15868	0.11502	0.10404	0.12526
11	0.1583	0.11369	0.0999	0.12506
12	0.15595	0.11213	0.10326	0.12477
13	0.15459	0.11171	0.10396	0.12525
14	0.15569	0.11102	0.10536	0.12565
15	0.1531	0.10973	0.10749	0.12422
16	0.15348	0.10457	0.10745	0.12139
17	0.15346	0.10376	0.10654	0.12047
18	0.15686	0.10346	0.10633	0.12217
19	0.16397	0.1033	0.10269	0.12332
20	0.16705	0.10447	0.10257	0.12963
21	0.16928	0.11124	0.10288	0.13552
22	0.1712	0.1154	0.10794	0.13099
23	0.16896	0.10614	0.11157	0.11797
24	0.16353	0.10381	0.11019	0.11301
